日期,预测值,预测下限,预测上限,趋势,趋势下限,趋势上限,年度季节性,年度季节性下限,年度季节性上限,月度季节性,月度季节性下限,月度季节性上限
2015-12-01,218213.88501958665,173310.49495506915,265005.59784295945,234668.93057230514,234668.93057230514,234668.93057230514,0.011356897907188086,0.011356897907188086,0.011356897907188086,-0.08147715418733693,-0.08147715418733693,-0.08147715418733693
2016-01-01,206858.80022952598,161199.99476025385,253863.93755171986,235558.7028642484,235558.7028642484,235558.7028642484,-0.07042922473715486,-0.07042922473715486,-0.07042922473715486,-0.051408356662934813,-0.051408356662934813,-0.051408356662934813
2016-02-01,219842.8219237979,173448.14267699793,265347.78194503917,236448.47515619162,236448.47515619162,236448.47515619162,-0.0752881180817984,-0.0752881180817984,-0.0752881180817984,0.005058639031766565,0.005058639031766565,0.005058639031766565
2016-03-01,236919.79709074387,193478.688718853,282158.2264490518,237280.84278413854,237280.84278413854,237280.84278413854,0.09304930506476639,0.09304930506476639,0.09304930506476639,-0.09457090153736117,-0.09457090153736117,-0.09457090153736117
2016-04-01,205208.52318518245,157496.94838210562,250893.33988892063,238170.6150629885,238170.6150629885,238170.6150629885,-0.05691981753507504,-0.05691981753507504,-0.05691981753507504,-0.08147715418659872,-0.08147715418659872,-0.08147715418659872
2016-05-01,227081.45206273417,179291.81630582272,273928.40429029375,239031.6850102627,239031.6850102627,239031.6850102627,0.04457655477553987,0.04457655477553987,0.04457655477553987,-0.09457090153762476,-0.09457090153762476,-0.09457090153762476
2016-06-01,224769.7274713578,177170.16916783736,269781.8692048424,239921.45728911267,239921.45728911267,239921.45728911267,0.01832427912159605,0.01832427912159605,0.01832427912159605,-0.08147715418727461,-0.08147715418727461,-0.08147715418727461
2016-07-01,228867.61429548127,181903.25399707342,272995.577923203,240782.52723638687,240782.52723638687,240782.52723638687,0.04508677543568544,0.04508677543568544,0.04508677543568544,-0.09457090153761061,-0.09457090153761061,-0.09457090153761061
2016-08-01,228210.06398638256,181754.06107346632,273560.0764800536,241672.2995277387,241672.2995277387,241672.2995277387,0.02577265032886865,0.02577265032886865,0.02577265032886865,-0.08147715418662656,-0.08147715418662656,-0.08147715418662656
2016-09-01,222408.99522259287,177586.6971965937,265998.07547097356,242562.07181909055,242562.07181909055,242562.07181909055,-0.03167584708494127,-0.03167584708494127,-0.03167584708494127,-0.05140835666282523,-0.05140835666282523,-0.05140835666282523
